numa,ClientID
7926CGUOFUN,К002881
7926DEJBNVF,К000123
7901VFDMSND,К014456
495AJFGBG,К000441
926RJTKLKR1,К000442
967SWMBEV,К000443
968DEDFGHJ1,К000444
7495AAAMNBN,К000445
7495ABLPCHP,К000446
7495ACWOOIR,К000447
7495ANCFJFJ,К000448
7495AOIDOPM,К000449
7495ASJHHBB,К000450
7495AWEKLDF,К000451
7495BAUQWHN,К000452
7495BBLRMAK,К000453
7495BMQFKAR,К000454
7495BVCKLKD,К000455
7495CCLBAID,К000456
7495CFBQCUO,К000457
7495CGHHFVG,К000458
7495CTKRGUS,К000459
7495CWEABIL,К000460
7495CWUHJKB,К000461
7495DBLUHMH,К000462
7495DELSDSD,К000463
7495DEVRQMC,К000464
7495DFGALCL,К000465
7495DGVKLEL,К000466
7495DPTLKDN,К000467
7495DVMCCAR,К000468
7495EEVANSA,К000469
7495ERLJDOF,К000470
7495ESWEAPW,К000471
7495EUBLPBM,К000472
7495FKWWJRN,К000473
7495FNUICTK,К000474
7495FORFTHD,К000475
7495FRTGHJK,К000476
7495GHGHLLL,К000477
7495GKRAGJF,К000478
7495GPLDONS,К000479
7495GWETEGN,К000480
7495HAADETS,К000481
7495HCNMGLD,К000482
7495HDOWJAS,К000483
7495HEFJKOF,К000484
7495HPVBTLF,К000485
7495HPWGCPO,К000486
7495HVCMKOB,К000487
7495HWVNGJC,К000488
7495IDDKFAA,К000489
7495IJJUGPC,К000490
7495ILABUPK,К000491
7495INNWCSW,К000492
7495JEOGQVK,К000493
7495JLELUGB,К000494
7495JTGAVTB,К000495
7495KCLPONT,К000496
7495KOLKOLQ,К000497
7495KUMMWJS,К000498
7495KWBBDVJ,К000499
7495KWCIQOQ,К000500
7495LILOPOP,К000501
7495LLOVTWB,К000502
7495LPBIFWP,К000503
7495LRMERKI,К000504
7495LVOGABH,К000505
7495MCLKVDK,К000506
7495MMKEBGJ,К000507
